ProductID,Category,Brand,Quantity,Price,Warehouse,Model
1,Laptop,Dell,160,606.65,Paris,Model-486
2,Desktop,Dell,74,359.28,Marseille,Model-91
3,Laptop,Asus,180,668.97,Marseille,Model-310
4,Laptop,HP,196,1088.76,Marseille,Model-78
5,Laptop,Asus,179,171.62,Paris,Model-40
6,Laptop,Asus,143,1142.65,Lyon,Model-305
7,Monitor,Acer,107,1371.82,Marseille,Model-5
8,Monitor,Lenovo,32,1207.59,Lyon,Model-259
9,Monitor,Acer,97,1449.35,Lyon,Model-452
10,Monitor,Acer,147,996.91,Marseille,Model-187
11,Accessory,HP,197,372.37,Marseille,Model-394
12,Accessory,Asus,102,1125.63,Lyon,Model-448
13,Monitor,Asus,91,859.18,Marseille,Model-58
14,Accessory,Dell,123,779.61,Marseille,Model-335
15,Monitor,Samsung,28,1338.73,Marseille,Model-378
16,Desktop,Acer,194,317.37,Marseille,Model-220
17,Laptop,Dell,18,797.98,Paris,Model-482
18,Monitor,Logitech,94,138.96,Paris,Model-477
19,Laptop,Asus,168,1471.29,Marseille,Model-162
20,Laptop,Logitech,57,987.51,Lyon,Model-94
21,Monitor,Acer,13,1153.19,Paris,Model-194
22,Monitor,Samsung,50,750.25,Marseille,Model-341
23,Accessory,Dell,43,1331.03,Lyon,Model-285
24,Laptop,Samsung,166,66.91,Lyon,Model-267
25,Laptop,Asus,84,512.44,Lyon,Model-456
26,Laptop,Acer,19,415.35,Paris,Model-168
27,Desktop,Acer,82,834.77,Marseille,Model-294
28,Laptop,Dell,44,293.5,Paris,Model-466
29,Desktop,HP,191,795.61,Marseille,Model-241
30,Monitor,Acer,78,1358.88,Marseille,Model-420
31,Accessory,HP,56,51.88,Marseille,Model-235
32,Monitor,Samsung,150,652.03,Lyon,Model-59
33,Desktop,Samsung,177,1480.66,Marseille,Model-285
34,Accessory,Acer,130,811.97,Lyon,Model-180
35,Desktop,Acer,24,1273.22,Lyon,Model-138
36,Desktop,Dell,26,1435.87,Lyon,Model-130
37,Laptop,Asus,80,406.46,Marseille,Model-112
38,Accessory,Lenovo,130,959.05,Paris,Model-387
39,Desktop,HP,32,1067.66,Lyon,Model-339
40,Desktop,Logitech,38,1454.2,Marseille,Model-210
41,Laptop,Dell,10,408.45,Paris,Model-221
42,Monitor,HP,75,845.09,Lyon,Model-403
43,Accessory,Asus,76,282.53,Marseille,Model-8
44,Accessory,Asus,134,976.21,Paris,Model-49
45,Accessory,HP,43,1168.83,Paris,Model-160
46,Accessory,Asus,61,905.79,Lyon,Model-234
47,Desktop,Acer,143,418.65,Paris,Model-427
48,Desktop,Acer,35,89.84,Marseille,Model-282
49,Accessory,Asus,41,1110.26,Lyon,Model-288
50,Accessory,Acer,91,998.1,Marseille,Model-355
51,Desktop,Acer,190,125.53,Lyon,Model-61
52,Laptop,HP,151,1319.95,Lyon,Model-181
53,Monitor,Logitech,129,548.08,Lyon,Model-405
54,Accessory,Asus,157,1405.44,Lyon,Model-387
55,Desktop,Samsung,200,192.91,Paris,Model-294
56,Desktop,Lenovo,19,1440.79,Lyon,Model-92
57,Monitor,Samsung,56,402.5,Paris,Model-355
58,Monitor,Samsung,126,73.26,Marseille,Model-204
59,Laptop,Asus,114,166.51,Lyon,Model-436
60,Desktop,Lenovo,120,30.61,Marseille,Model-434
61,Accessory,Samsung,155,297.33,Lyon,Model-15
62,Laptop,HP,190,252.96,Lyon,Model-368
63,Laptop,Asus,179,648.96,Marseille,Model-277
64,Monitor,HP,78,658.19,Marseille,Model-302
65,Laptop,Acer,65,1119.3,Marseille,Model-380
66,Monitor,Dell,151,1059.05,Marseille,Model-357
67,Desktop,Samsung,11,106.49,Lyon,Model-147
68,Accessory,Asus,137,601.73,Paris,Model-230
69,Accessory,Asus,25,1015.3,Marseille,Model-74
70,Laptop,Dell,38,1408.53,Lyon,Model-408
71,Monitor,Acer,116,551.96,Paris,Model-373
72,Accessory,Logitech,22,726.48,Marseille,Model-117
73,Desktop,HP,172,996.87,Marseille,Model-226
74,Desktop,Logitech,61,863.92,Marseille,Model-382
75,Laptop,Logitech,198,1190.46,Lyon,Model-335
76,Desktop,Lenovo,21,135.27,Lyon,Model-238
77,Desktop,Logitech,15,1092.46,Lyon,Model-235
78,Monitor,Lenovo,189,1184.2,Paris,Model-131
79,Accessory,Samsung,83,763.5,Lyon,Model-473
80,Laptop,Lenovo,176,1314.07,Marseille,Model-51
81,Laptop,Acer,50,1307.52,Paris,Model-434
82,Desktop,Samsung,58,922.51,Paris,Model-262
83,Monitor,HP,196,1361.5,Paris,Model-221
84,Accessory,Samsung,11,100.75,Marseille,Model-322
85,Monitor,Dell,11,798.32,Paris,Model-373
86,Laptop,Asus,129,1094.12,Marseille,Model-333
87,Laptop,Samsung,120,1447.62,Paris,Model-147
88,Desktop,Acer,49,1232.78,Lyon,Model-423
89,Laptop,Lenovo,52,344.72,Marseille,Model-318
90,Desktop,HP,10,654.26,Paris,Model-375
91,Monitor,Acer,188,119.15,Lyon,Model-98
92,Desktop,Dell,21,859.08,Paris,Model-497
93,Accessory,Lenovo,57,1225.46,Lyon,Model-300
94,Accessory,Acer,184,48.96,Paris,Model-73
95,Accessory,Logitech,54,817.62,Marseille,Model-84
96,Accessory,Lenovo,165,1044.73,Marseille,Model-489
97,Accessory,Samsung,162,95.01,Paris,Model-250
98,Monitor,HP,184,490.94,Lyon,Model-469
99,Desktop,Lenovo,112,23.43,Paris,Model-337
100,Laptop,Acer,89,1261.13,Marseille,Model-385
101,Accessory,Acer,112,1201.51,Marseille,Model-460
102,Monitor,Acer,126,1372.69,Lyon,Model-420
103,Monitor,Lenovo,14,1061.63,Lyon,Model-401
104,Laptop,Logitech,28,894.61,Lyon,Model-276
105,Accessory,Dell,62,37.77,Paris,Model-288
106,Desktop,Samsung,43,170.09,Paris,Model-158
107,Laptop,Lenovo,83,700.02,Paris,Model-323
108,Laptop,Logitech,121,584.26,Lyon,Model-201
109,Monitor,Acer,108,1093.47,Marseille,Model-137
110,Desktop,Lenovo,82,482.86,Paris,Model-172
111,Desktop,Dell,195,678.67,Paris,Model-341
112,Monitor,Acer,169,611.31,Lyon,Model-239
113,Monitor,Asus,105,1434.62,Lyon,Model-93
114,Monitor,Dell,171,475.69,Paris,Model-232
115,Monitor,Lenovo,12,1258.51,Lyon,Model-106
116,Desktop,Lenovo,142,29.66,Lyon,Model-462
117,Laptop,Lenovo,148,317.2,Lyon,Model-374
